2025-09-11 | ETL_get_previous_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-09-11 | ETL_get_previous_match_news | INFO     | Prepared 9 article snippets (dropped 0 with no usable text; limit 60).
2025-09-11 | ETL_get_previous_match_news | INFO     | Building system and user prompts for LLM
2025-09-11 | ETL_get_previous_match_news | INFO     | Calling LLM orchestrator
2025-09-11 | ETL_get_previous_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-09-11 | ETL_get_previous_match_news | INFO     | Gemini returned a valid response.
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-09-11 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-11 | ETL_get_previous_match_news | INFO     | HANDLING PREVIOUS MATCHES FOR TEAM: Espanyol
2025-09-11 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-11 | ETL_get_previous_match_news | INFO     | Extract all articles from the last 14 days...
2025-09-11 | ETL_get_previous_match_news | INFO     | ✅ Retrieved 341 articles from 'article_contents' (last 14 days).
2025-09-11 | ETL_get_previous_match_news | INFO     | Filtering articles for team: Espanyol
2025-09-11 | ETL_get_previous_match_news | INFO     | Filtering articles with injury tags: ['cronica_partido']
2025-09-11 | ETL_get_previous_match_news | INFO     | Found 0 transfer-tagged articles for Espanyol
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | FORMATTING LLM OUTPUT FOR PREVIOUS MATCHES TABLE
2025-09-11 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-11 | ETL_get_previous_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-09-11 | ETL_get_previous_match_news | INFO     | No injury articles for Espanyol. Skipping.
