2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/osasuna/2025/08/24/osasuna-valencia-test-carga-muralla-rojilla-previa-analisis-pronostico-prediccion.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/levante/2025/08/23/levante-barcelona-hora-canal-ver-hoy-tv-partido-laliga-ea-sports.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/osasuna/2025/08/19/dia-osasuna-asesto-puntilla-madrid-galacticos-titulo-laliga-intrahistoria-goleada-inolvidable-rojillos.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/levante/2025/08/28/elche-levante-derbi-sirve-primera-previa-analisis-pronostico-prediccion.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/osasuna/osasuna-adios-opcion-juste-20250824-509053.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.noticiasdenavarra.com/osasuna/2025/08/29/enfria-el-tercer-refuerzo-osasuna-658527-1027.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/primera-division/alineacion-posible-de-osasuna-contra-el-valencia-en-laliga-ea-sports-n/
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/osasuna/osasuna-adios-opcion-juste-20250824-509053.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/osasuna/2025/08/19/dia-osasuna-asesto-puntilla-madrid-galacticos-titulo-laliga-intrahistoria-goleada-inolvidable-rojillos.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/osasuna/2025/08/24/osasuna-valencia-test-carga-muralla-rojilla-previa-analisis-pronostico-prediccion.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: 
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping  — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.elcomercio.es/real-oviedo/real-oviedo-mercado-fichajes-real-oviedo-paciencia-20250826211724-nt.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.diariodenavarra.es/noticias/deportes/futbol/osasuna/portada/osasuna-descarta-el-fichaje-st-juste-658430-1027.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/oviedo/encarrila-fichaje-20250827-509477.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/osasuna/2025/08/19/dia-osasuna-asesto-puntilla-madrid-galacticos-titulo-laliga-intrahistoria-goleada-inolvidable-rojillos.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/28/lujo-suerte-madrid-ausencias-llamativas-desafio-unico-chelsea.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/osasuna/2025/08/19/dia-osasuna-asesto-puntilla-madrid-galacticos-titulo-laliga-intrahistoria-goleada-inolvidable-rojillos.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/real-madrid/alineaciones-real-oviedo-real-madrid-alineaciones-probables-oviedo-real-madrid-segunda-jornada-laliga-202526-20250824-508781.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/oviedo/encarrila-fichaje-20250827-509477.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/primera-division/2025/08/25/sancet-vuelve-rayo.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.elcomercio.es/real-oviedo/real-oviedo-mercado-fichajes-real-oviedo-paciencia-20250826211724-nt.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/conference-league/cronica/2025/08/21/ver-gratis-online-neman-grodno-rayo-vallecano-conference-league.html#ancla_comentarios
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/real-madrid/2025/08/28/lujo-suerte-madrid-ausencias-llamativas-desafio-unico-chelsea.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/conference-league/2025/08/28/pasaporte-regla-fiesta-vallecas.html#ancla_comentarios
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/real-madrid/alineaciones-real-oviedo-real-madrid-alineaciones-probables-oviedo-real-madrid-segunda-jornada-laliga-202526-20250824-508781.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/rayo/2025/08/19/gol-alvaro-garcia-0-2-girona-1-3-rayo-vallecan-video.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://as.com/futbol/primera-division/alineacion-posible-de-osasuna-contra-el-valencia-en-laliga-ea-sports-n/ — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.eldesmarque.com/futbol/rayo-vallecano/inigo-perez-anuncia-plan-para-europa-20250827-509468.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/conference-league/cronica/2025/08/21/ver-gratis-online-neman-grodno-rayo-vallecano-conference-league.html#ancla_comentarios — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.eldesmarque.com/futbol/conference-league/2025/08/21/neman-rayo-vallecano-batalla-alvaro-garcia-encarrilan-clasificacion_300738864.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/primera-division/2025/08/25/sancet-vuelve-rayo.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/sevilla/2025/08/27/akor-adams-baja-girona.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/conference-league/2025/08/28/pasaporte-regla-fiesta-vallecas.html#ancla_comentarios — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/sevilla/2025/08/26/sevilla-getafe-en-directo-laliga-ea-sports-hoy-en-vivo-n/
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/rayo/2025/08/19/gol-alvaro-garcia-0-2-girona-1-3-rayo-vallecan-video.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/sevilla/2025/08/25/sevilla-inicia-conversaciones-patterson.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.eldesmarque.com/futbol/conference-league/2025/08/21/neman-rayo-vallecano-batalla-alvaro-garcia-encarrilan-clasificacion_300738864.html — empty text scraped.
