2025-08-31 | ETL_get_next_match_news | INFO     | Logger 'ETL_get_next_match_news' initialized. Logging to: logs/ETL_get_next_match_news.log
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | HANDLING TRANSFERS FOR TEAM: Celta de Vigo
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | Extract all articles from the last 7 days...
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Retrieved 620 articles from 'article_contents' (last 7 days).
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles for team: Celta de Vigo
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles with injury tags: ['previa_siguiente_partido']
2025-08-31 | ETL_get_next_match_news | INFO     | Found 41 transfer-tagged articles for Celta de Vigo
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | FORMATTING LLM OUTPUT FOR TRANSFER TABLE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-08-31 | ETL_get_next_match_news | INFO     | Prepared 40 article snippets (dropped 0 with no usable text; limit 60).
2025-08-31 | ETL_get_next_match_news | INFO     | Building system and user prompts for LLM
2025-08-31 | ETL_get_next_match_news | INFO     | Calling LLM orchestrator
2025-08-31 | ETL_get_next_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-31 | ETL_get_next_match_news | INFO     | Gemini returned a valid response.
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | HANDLING TRANSFERS FOR TEAM: Elche
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | Extract all articles from the last 7 days...
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Retrieved 620 articles from 'article_contents' (last 7 days).
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles for team: Elche
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles with injury tags: ['previa_siguiente_partido']
2025-08-31 | ETL_get_next_match_news | INFO     | Found 23 transfer-tagged articles for Elche
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | FORMATTING LLM OUTPUT FOR TRANSFER TABLE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-08-31 | ETL_get_next_match_news | INFO     | Prepared 22 article snippets (dropped 0 with no usable text; limit 60).
2025-08-31 | ETL_get_next_match_news | INFO     | Building system and user prompts for LLM
2025-08-31 | ETL_get_next_match_news | INFO     | Calling LLM orchestrator
2025-08-31 | ETL_get_next_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-31 | ETL_get_next_match_news | INFO     | Gemini returned a valid response.
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | HANDLING TRANSFERS FOR TEAM: Espanyol
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | Extract all articles from the last 7 days...
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Retrieved 620 articles from 'article_contents' (last 7 days).
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles for team: Espanyol
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles with injury tags: ['previa_siguiente_partido']
2025-08-31 | ETL_get_next_match_news | INFO     | Found 11 transfer-tagged articles for Espanyol
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | FORMATTING LLM OUTPUT FOR TRANSFER TABLE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-08-31 | ETL_get_next_match_news | INFO     | Prepared 11 article snippets (dropped 0 with no usable text; limit 60).
2025-08-31 | ETL_get_next_match_news | INFO     | Building system and user prompts for LLM
2025-08-31 | ETL_get_next_match_news | INFO     | Calling LLM orchestrator
2025-08-31 | ETL_get_next_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-31 | ETL_get_next_match_news | INFO     | Gemini returned a valid response.
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | HANDLING TRANSFERS FOR TEAM: Getafe
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | Extract all articles from the last 7 days...
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Retrieved 620 articles from 'article_contents' (last 7 days).
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles for team: Getafe
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles with injury tags: ['previa_siguiente_partido']
2025-08-31 | ETL_get_next_match_news | INFO     | Found 25 transfer-tagged articles for Getafe
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | FORMATTING LLM OUTPUT FOR TRANSFER TABLE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-08-31 | ETL_get_next_match_news | INFO     | Prepared 25 article snippets (dropped 0 with no usable text; limit 60).
2025-08-31 | ETL_get_next_match_news | INFO     | Building system and user prompts for LLM
2025-08-31 | ETL_get_next_match_news | INFO     | Calling LLM orchestrator
2025-08-31 | ETL_get_next_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-31 | ETL_get_next_match_news | INFO     | Gemini returned a valid response.
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | HANDLING TRANSFERS FOR TEAM: Girona
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | Extract all articles from the last 7 days...
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Retrieved 620 articles from 'article_contents' (last 7 days).
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles for team: Girona
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles with injury tags: ['previa_siguiente_partido']
2025-08-31 | ETL_get_next_match_news | INFO     | Found 13 transfer-tagged articles for Girona
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | FORMATTING LLM OUTPUT FOR TRANSFER TABLE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-08-31 | ETL_get_next_match_news | INFO     | Prepared 13 article snippets (dropped 0 with no usable text; limit 60).
2025-08-31 | ETL_get_next_match_news | INFO     | Building system and user prompts for LLM
2025-08-31 | ETL_get_next_match_news | INFO     | Calling LLM orchestrator
2025-08-31 | ETL_get_next_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-31 | ETL_get_next_match_news | INFO     | Gemini returned a valid response.
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | HANDLING TRANSFERS FOR TEAM: Levante
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | Extract all articles from the last 7 days...
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Retrieved 620 articles from 'article_contents' (last 7 days).
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles for team: Levante
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles with injury tags: ['previa_siguiente_partido']
2025-08-31 | ETL_get_next_match_news | INFO     | Found 25 transfer-tagged articles for Levante
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | FORMATTING LLM OUTPUT FOR TRANSFER TABLE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-08-31 | ETL_get_next_match_news | INFO     | Prepared 24 article snippets (dropped 0 with no usable text; limit 60).
2025-08-31 | ETL_get_next_match_news | INFO     | Building system and user prompts for LLM
2025-08-31 | ETL_get_next_match_news | INFO     | Calling LLM orchestrator
2025-08-31 | ETL_get_next_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-31 | ETL_get_next_match_news | INFO     | Gemini returned a valid response.
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | HANDLING TRANSFERS FOR TEAM: Mallorca
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | Extract all articles from the last 7 days...
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Retrieved 620 articles from 'article_contents' (last 7 days).
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles for team: Mallorca
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles with injury tags: ['previa_siguiente_partido']
2025-08-31 | ETL_get_next_match_news | INFO     | Found 21 transfer-tagged articles for Mallorca
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | FORMATTING LLM OUTPUT FOR TRANSFER TABLE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-08-31 | ETL_get_next_match_news | INFO     | Prepared 20 article snippets (dropped 0 with no usable text; limit 60).
2025-08-31 | ETL_get_next_match_news | INFO     | Building system and user prompts for LLM
2025-08-31 | ETL_get_next_match_news | INFO     | Calling LLM orchestrator
2025-08-31 | ETL_get_next_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-31 | ETL_get_next_match_news | INFO     | Gemini returned a valid response.
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | HANDLING TRANSFERS FOR TEAM: Osasuna
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | Extract all articles from the last 7 days...
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Retrieved 620 articles from 'article_contents' (last 7 days).
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles for team: Osasuna
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles with injury tags: ['previa_siguiente_partido']
2025-08-31 | ETL_get_next_match_news | INFO     | Found 7 transfer-tagged articles for Osasuna
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | FORMATTING LLM OUTPUT FOR TRANSFER TABLE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-08-31 | ETL_get_next_match_news | INFO     | Prepared 7 article snippets (dropped 0 with no usable text; limit 60).
2025-08-31 | ETL_get_next_match_news | INFO     | Building system and user prompts for LLM
2025-08-31 | ETL_get_next_match_news | INFO     | Calling LLM orchestrator
2025-08-31 | ETL_get_next_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-31 | ETL_get_next_match_news | INFO     | Gemini returned a valid response.
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | HANDLING TRANSFERS FOR TEAM: Oviedo
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | Extract all articles from the last 7 days...
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Retrieved 620 articles from 'article_contents' (last 7 days).
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles for team: Oviedo
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles with injury tags: ['previa_siguiente_partido']
2025-08-31 | ETL_get_next_match_news | INFO     | Found 23 transfer-tagged articles for Oviedo
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | FORMATTING LLM OUTPUT FOR TRANSFER TABLE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-08-31 | ETL_get_next_match_news | INFO     | Prepared 23 article snippets (dropped 0 with no usable text; limit 60).
2025-08-31 | ETL_get_next_match_news | INFO     | Building system and user prompts for LLM
2025-08-31 | ETL_get_next_match_news | INFO     | Calling LLM orchestrator
2025-08-31 | ETL_get_next_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-31 | ETL_get_next_match_news | INFO     | Gemini returned a valid response.
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | HANDLING TRANSFERS FOR TEAM: Rayo Vallecano
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | Extract all articles from the last 7 days...
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Retrieved 620 articles from 'article_contents' (last 7 days).
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles for team: Rayo Vallecano
2025-08-31 | ETL_get_next_match_news | INFO     | Filtering articles with injury tags: ['previa_siguiente_partido']
2025-08-31 | ETL_get_next_match_news | INFO     | Found 30 transfer-tagged articles for Rayo Vallecano
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | FORMATTING LLM OUTPUT FOR TRANSFER TABLE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-08-31 | ETL_get_next_match_news | INFO     | Prepared 27 article snippets (dropped 0 with no usable text; limit 60).
2025-08-31 | ETL_get_next_match_news | INFO     | Building system and user prompts for LLM
2025-08-31 | ETL_get_next_match_news | INFO     | Calling LLM orchestrator
2025-08-31 | ETL_get_next_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-31 | ETL_get_next_match_news | INFO     | Gemini returned a valid response.
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-08-31 | ETL_get_next_match_news | INFO     | ------------------------------
2025-08-31 | ETL_get_next_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | HANDLING TRANSFERS FOR TEAM: Real Madrid
2025-08-31 | ETL_get_next_match_news | INFO     | ============================================================
2025-08-31 | ETL_get_next_match_news | INFO     | Extract all articles from the last 7 days...
