2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/xabi-alonso-abre-mercado-hay-preparados.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/madrid-cerro-tartiere-primera-abre.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/ruediger-vuelve-burgos.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/resultados/futbol/r-madrid/plantilla/C186.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/real-madrid-vs-oviedo-valoracion-comentarios.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/cazorla-estuvo-punto-fichar-madrid-roig-freno-operacion.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/23/xabi-alonso-parchea-valdebebas.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/23/ruediger-regresa-convocatoria-sigue-thiago-pitarch.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/23/ruediger-regresa-convocatoria-sigue-thiago-pitarch.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
